Frame,Driver,Speed,Sector,Lap
1,VERSTAPPEN,233,Sector 3,34 / 53
101,VERSTAPPEN,121,Sector 3,34 / 53
201,VERSTAPPEN,188,Sector 3,34 / 53
301,VERSTAPPEN,252,Sector 3,34 / 53
401,VERSTAPPEN,167,Sector 3,35 / 53
501,VERSTAPPEN,129,Sector 3,35 / 53
601,VERSTAPPEN,98,Sector 3,35 / 53
701,VERSTAPPEN,224,Sector 3,35 / 53
801,VERSTAPPEN,285,Sector 3,35 / 53
901,VERSTAPPEN,309,Sector 1,35 / 53
1001,VERSTAPPEN,264,Sector 1,35 / 53
1101,VERSTAPPEN,184,Sector 1,35 / 53
1201,VERSTAPPEN,246,Sector 1,35 / 53
1301,VERSTAPPEN,282,Sector 1,35 / 53
1401,VERSTAPPEN,158,Sector 1,35 / 53
1501,VERSTAPPEN,116,Sector 1,35 / 53
1601,VERSTAPPEN,86,Sector 1,35 / 53
1701,VERSTAPPEN,150,Sector 2,35 / 53
1801,VERSTAPPEN,207,Sector 2,35 / 53
1901,VERSTAPPEN,262,Sector 2,35 / 53
2001,VERSTAPPEN,292,Sector 2,35 / 53
2101,VERSTAPPEN,309,Sector 2,35 / 53
2201,VERSTAPPEN,314,Sector 2,35 / 53
2301,VERSTAPPEN,188,Sector 2,35 / 53
2401,VERSTAPPEN,109,Sector 2,35 / 53
2501,VERSTAPPEN,188,Sector 2,35 / 53
2601,VERSTAPPEN,267,Sector 2,35 / 53
2701,VERSTAPPEN,297,Sector 2,35 / 53
2801,VERSTAPPEN,309,Sector 3,35 / 53
2901,VERSTAPPEN,298,Sector 3,35 / 53
3001,VERSTAPPEN,216,Sector 3,35 / 53
3101,VERSTAPPEN,164,Sector 3,35 / 53
3201,VERSTAPPEN,220,Sector 3,35 / 53
3301,VERSTAPPEN,141,Sector 3,35 / 53
3401,VERSTAPPEN,146,Sector 3,35 / 53
3501,VERSTAPPEN,233,Sector 3,35 / 53
3601,VERSTAPPEN,219,Sector 3,35 / 53
3701,VERSTAPPEN,142,Sector 3,36 / 53
3801,VERSTAPPEN,76,Sector 3,36 / 53
3901,VERSTAPPEN,178,Sector 3,36 / 53
4001,VERSTAPPEN,259,Sector 3,36 / 53
4101,VERSTAPPEN,298,Sector 1,36 / 53
4201,VERSTAPPEN,305,Sector 1,36 / 53
4301,VERSTAPPEN,162,Sector 1,36 / 53
4401,VERSTAPPEN,208,Sector 1,36 / 53
4501,VERSTAPPEN,271,Sector 1,36 / 53
4601,VERSTAPPEN,242,Sector 1,36 / 53
4701,VERSTAPPEN,129,Sector 1,36 / 53
4801,VERSTAPPEN,114,Sector 1,36 / 53
4901,VERSTAPPEN,108,Sector 1,36 / 53
5001,VERSTAPPEN,176,Sector 2,36 / 53
5101,VERSTAPPEN,247,Sector 2,36 / 53
5201,VERSTAPPEN,279,Sector 2,36 / 53
5301,VERSTAPPEN,299,Sector 2,36 / 53
5401,VERSTAPPEN,304,Sector 2,36 / 53
